,scores0,scores1
579,17.505,17.122
580,17.622,17.087
581,17.879,17.057
582,17.868,17.066
583,17.928,17.13
584,17.864,17.23
585,17.741,17.058
586,17.782,16.846
587,17.392,16.877
588,17.153,16.914
589,16.853,17.078
590,16.795,17.295
591,17.022,16.867
592,17.115,16.603
593,17.027,16.49
594,17.272,16.454
595,17.452,16.547
596,17.321,16.417
597,17.27,16.222
598,17.512,16.116
599,17.739,16.501
600,17.631,16.505
601,17.459,16.624
602,17.204,16.791
603,17.008,16.892
604,17.208,16.961
605,17.063,17.302
606,17.113,17.503
607,17.171,17.582
608,17.405,17.239
609,17.289,17.178
610,17.542,17.497
611,17.599,17.569
612,17.465,17.592
613,17.307,17.391
614,17.373,17.533
615,17.51,17.294
616,17.794,17.526
617,17.996,17.338
618,17.995,17.564
619,17.896,17.465
620,17.76,17.453
621,17.62,17.266
622,17.658,17.379
623,18.195,17.444
624,18.142,17.7
625,18.044,17.932
626,18.291,17.936
627,18.652,17.682
628,18.57,17.947
629,18.491,17.964
630,18.354,17.801
631,18.266,17.748
632,18.468,18.037
633,18.75,17.803
634,18.908,17.974
635,18.953,17.443
636,19.038,17.341
637,19.049,17.215
638,18.814,17.359
639,18.732,17.609
640,18.406,17.436
641,18.063,17.446
642,17.936,17.308
643,17.835,17.649
644,17.856,17.772
645,17.889,17.448
646,18.295,17.56
647,18.464,17.579
648,18.329,17.264
649,18.368,17.626
650,18.644,17.72
651,18.592,17.555
652,18.488,17.766
653,18.485,17.971
654,18.98,17.887
655,19.172,18.034
656,19.323,18.188
657,19.034,18.162
658,19.043,18.288
659,18.909,18.436
660,19.258,18.366
661,19.399,18.29
662,19.551,18.335
663,19.469,18.635
664,19.411,18.691
665,19.401,18.784
666,19.134,18.555
667,19.142,18.722
668,18.831,18.986
669,18.902,19.088
670,18.824,18.981
671,19.029,18.767
672,18.893,18.767
673,18.982,18.633
674,18.937,18.927
675,18.618,19.052
676,18.685,19.21
677,18.616,19.109
678,18.549,19.187
679,18.868,19.325
680,18.968,19.105
681,18.911,18.949
682,18.959,19.102
683,18.97,18.946
684,18.775,18.942
685,19.133,19.108
686,19.135,18.949
687,19.315,18.951
688,19.49,18.759
689,19.358,18.809
690,19.013,18.713
691,19.197,19.144
692,19.172,19.305
693,18.908,19.351
694,18.853,19.137
695,18.938,19.171
696,19.153,19.141
697,19.161,19.419
698,19.106,19.551
699,18.99,19.548
700,19.007,19.567
701,19.419,19.692
702,19.527,19.859
703,19.731,19.703
704,19.774,20.053
705,20.031,20.311
706,20.191,20.382
707,20.297,20.175
708,20.495,20.151
709,20.896,19.95
710,20.803,20.125
711,20.933,20.436
712,20.84,20.507
713,20.517,20.386
714,20.392,20.291
715,20.493,20.016
716,20.488,20.597
717,20.676,20.686
718,21.003,20.709
719,21.295,20.461
720,21.583,20.486
721,21.609,20.158
722,21.563,20.242
723,21.508,20.286
724,21.377,20.205
725,21.127,20.217
726,21.376,20.514
727,21.491,20.517
728,21.119,20.492
729,20.975,20.469
730,20.829,20.492
731,20.97,20.551
732,21.379,20.588
733,21.4,20.426
734,21.119,20.58
735,20.973,20.607
736,20.806,20.604
737,20.764,20.548
738,20.994,20.656
739,21.032,20.836
740,21.192,20.726
741,21.404,20.965
742,21.395,20.843
743,21.185,20.965
744,21.306,21.102
745,21.248,20.934
746,21.54,21.121
747,21.617,20.862
748,21.442,20.987
749,21.616,21.289
750,21.543,21.379
751,21.454,21.44
752,21.314,21.384
753,21.198,21.253
754,21.351,21.454
755,21.067,21.325
756,20.956,21.298
757,21.156,21.188
758,21.41,21.164
759,21.397,21.236
760,21.093,21.433
761,21.181,21.522
762,21.177,21.945
763,21.166,22.0
764,20.828,21.848
765,20.95,21.801
766,21.101,21.759
767,21.442,21.825
768,21.43,21.626
769,21.102,21.755
770,20.912,21.7
771,20.99,21.697
772,21.308,21.27
773,21.256,21.483
774,21.551,21.408
775,21.319,20.967
776,21.213,20.972
777,21.522,21.108
778,21.462,21.056
779,21.622,21.252
780,21.656,21.446
781,21.358,21.533
782,21.362,21.259
783,21.602,21.525
784,21.877,21.642
785,21.882,21.646
786,22.023,21.682
787,21.892,21.533
788,21.829,21.639
789,21.792,21.467
790,21.5,21.454
791,21.511,21.566
792,21.366,21.67
793,21.38,21.919
794,21.639,21.67
795,21.747,21.756
796,21.827,21.906
797,21.93,21.954
798,22.047,21.972
799,21.61,22.176
800,21.786,22.262
801,21.659,22.083
802,21.813,22.168
803,21.724,22.405
804,21.979,22.475
805,22.128,21.967
806,22.021,22.077
807,22.046,22.123
808,22.078,22.192
809,22.034,21.863
810,22.538,21.53
811,22.537,21.713
812,22.367,21.613
813,22.637,21.684
814,22.898,21.518
815,22.907,21.507
816,23.169,21.706
817,23.143,21.842
818,23.071,21.674
819,22.798,21.891
820,23.001,21.886
821,23.092,22.278
822,23.094,22.538
823,23.115,22.649
824,23.274,22.607
825,22.865,22.761
826,22.575,22.717
827,22.59,23.099
828,22.721,23.258
829,22.92,23.25
830,22.92,23.235
831,22.817,23.057
832,23.025,23.311
833,22.827,23.583
834,23.151,23.364
835,22.71,23.529
836,22.772,23.582
837,22.892,23.49
838,22.938,23.619
839,22.566,23.831
840,22.567,23.68
841,22.991,23.759
842,23.124,24.04
843,23.118,23.873
844,23.206,23.933
845,22.99,23.573
846,23.268,23.727
